instance_name,config,objective,seed,status,obj,best_bound,gap_pct,time,n_nodes,lp_bound,root_relax,n_sbs_rows,deadline,n_ops,n_dfa_states,n_dfa_arcs
synth_25,pairwise,wct,0,limit,1229.0,835.0000000043,32.0586,119.859375,2190,835.0000000000001,835.0,2718,,19,20,229
synth_25,pairwise,wct,1,limit,1197.999988,835.0000000029,30.300499999999996,119.765625,2614,835.0000000000001,835.0,2718,,19,20,229
synth_25,pairwise,wct,2,limit,1198.0,835.0000000012,30.300499999999996,119.828125,2925,835.0000000000001,835.0,2718,,19,20,229
synth_25,pairwise,wct,3,limit,1198.0,835.0000000002,30.300499999999996,119.703125,2874,835.0000000000001,835.0,2718,,19,20,229
synth_25,pairwise,wct,4,limit,1237.0,835.0000000028,32.498,119.828125,3309,835.0000000000001,835.0,2718,,19,20,229
synth_25,nosbs-off,wct,0,limit,1198.0,835.0,30.300499999999996,119.734375,24238,834.9999999999997,835.0,,,19,20,229
synth_25,nosbs-off,wct,1,limit,1198.0,835.0,30.300499999999996,119.8125,23048,834.9999999999997,835.0,,,19,20,229
synth_25,nosbs-off,wct,2,limit,1197.9999977319758,835.0000000002,30.300499999999996,119.796875,33920,834.9999999999997,835.0,,,19,20,229
synth_25,nosbs-off,wct,3,limit,1197.9999992397793,835.0,30.300499999999996,119.765625,24889,834.9999999999997,835.0,,,19,20,229
synth_25,nosbs-off,wct,4,limit,1198.0,835.0,30.300499999999996,119.734375,24426,834.9999999999997,835.0,,,19,20,229
synth_20,dfa,wct,0,limit,1303.0,776.0000000067,40.4451,119.8125,688,775.9999999999994,776.0,,,20,21,258
synth_20,dfa,wct,1,limit,1443.0,776.0000000053,46.2231,119.796875,625,775.9999999999994,776.0,,,20,21,258
synth_20,dfa,wct,2,limit,1300.0,776.0000000067,40.3077,119.828125,639,775.9999999999994,776.0,,,20,21,258
synth_20,dfa,wct,3,limit,1274.0,776.0000000045,39.0895,119.734375,606,775.9999999999994,776.0,,,20,21,258
synth_20,dfa,wct,4,limit,1303.0,776.0000000084,40.4451,119.90625,621,775.9999999999994,776.0,,,20,21,258
synth_20,pairwise,wct,0,limit,1335.0,776.0000000038,41.8727,119.71875,1026,776.0000000000002,776.0,3078,,20,21,258
synth_20,pairwise,wct,1,limit,1288.0,776.0000000089,39.7516,119.75,1058,776.0000000000002,776.0,3078,,20,21,258
synth_20,pairwise,wct,2,limit,1295.0,776.0000000022,40.0772,119.734375,1198,776.0000000000002,776.0,3078,,20,21,258
synth_20,pairwise,wct,3,limit,1288.0,776.0000000039,39.7516,119.84375,1255,776.0000000000002,776.0,3078,,20,21,258
synth_20,pairwise,wct,4,limit,1300.0,776.000000018,40.3077,119.75,1976,776.0000000000002,776.0,3078,,20,21,258
synth_20,nosbs-off,wct,0,limit,1266.0,776.0000000001,38.7046,119.984375,15376,775.9999999999999,776.0,,,20,21,258
synth_20,nosbs-off,wct,1,limit,1276.0,776.0,39.185,119.65625,11948,775.9999999999999,776.0,,,20,21,258
synth_20,nosbs-off,wct,2,limit,1265.9999699999992,776.0000000042,38.7046,119.859375,18777,775.9999999999999,776.0,,,20,21,258
synth_20,nosbs-off,wct,3,limit,1266.0,776.0,38.7046,119.8125,15913,775.9999999999999,776.0,,,20,21,258
synth_20,nosbs-off,wct,4,limit,1265.999966229092,776.0,38.7046,119.609375,12924,775.9999999999999,776.0,,,20,21,258
